areacode,areaid,areaname,level,link,pareaid
110000000000,11,北京市,1,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/11.html,0
120000000000,12,天津市,1,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/12.html,0
130000000000,13,河北省,1,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/13.html,0
140000000000,14,山西省,1,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/14.html,0
150000000000,15,内蒙古自治区,1,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/15.html,0
210000000000,21,辽宁省,1,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/21.html,0
220000000000,22,吉林省,1,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/22.html,0
230000000000,23,黑龙江省,1,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/23.html,0
310000000000,31,上海市,1,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/31.html,0
320000000000,32,江苏省,1,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/32.html,0
330000000000,33,浙江省,1,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/33.html,0
340000000000,34,安徽省,1,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/34.html,0
350000000000,35,福建省,1,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/35.html,0
360000000000,36,江西省,1,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/36.html,0
370000000000,37,山东省,1,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/37.html,0
410000000000,41,河南省,1,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/41.html,0
420000000000,42,湖北省,1,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/42.html,0
430000000000,43,湖南省,1,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/43.html,0
440000000000,44,广东省,1,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/44.html,0
450000000000,45,广西壮族自治区,1,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/45.html,0
460000000000,46,海南省,1,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/46.html,0
500000000000,50,重庆市,1,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/50.html,0
510000000000,51,四川省,1,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/51.html,0
520000000000,52,贵州省,1,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/52.html,0
530000000000,53,云南省,1,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/53.html,0
540000000000,54,西藏自治区,1,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/54.html,0
610000000000,61,陕西省,1,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/61.html,0
620000000000,62,甘肃省,1,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/62.html,0
630000000000,63,青海省,1,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/63.html,0
640000000000,64,宁夏回族自治区,1,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/64.html,0
110100000000,1101,市辖区,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/11/1101.html,11
650000000000,65,新疆维吾尔自治区,1,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/65.html,0
120100000000,1201,市辖区,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/12/1201.html,12
130100000000,1301,石家庄市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/13/1301.html,13
130200000000,1302,唐山市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/13/1302.html,13
130300000000,1303,秦皇岛市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/13/1303.html,13
130400000000,1304,邯郸市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/13/1304.html,13
130500000000,1305,邢台市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/13/1305.html,13
130600000000,1306,保定市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/13/1306.html,13
130700000000,1307,张家口市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/13/1307.html,13
