areacode,areaid,areaname,level,link,pareaid
110000000000,11,北京市,1,,0
120000000000,12,天津市,1,,0
130000000000,13,河北省,1,,0
140000000000,14,山西省,1,,0
150000000000,15,内蒙古自治区,1,,0
210000000000,21,辽宁省,1,,0
220000000000,22,吉林省,1,,0
230000000000,23,黑龙江省,1,,0
310000000000,31,上海市,1,,0
320000000000,32,江苏省,1,,0
330000000000,33,浙江省,1,,0
340000000000,34,安徽省,1,,0
350000000000,35,福建省,1,,0
360000000000,36,江西省,1,,0
370000000000,37,山东省,1,,0
410000000000,41,河南省,1,,0
420000000000,42,湖北省,1,,0
430000000000,43,湖南省,1,,0
440000000000,44,广东省,1,,0
450000000000,45,广西壮族自治区,1,,0
460000000000,46,海南省,1,,0
500000000000,50,重庆市,1,,0
510000000000,51,四川省,1,,0
520000000000,52,贵州省,1,,0
530000000000,53,云南省,1,,0
540000000000,54,西藏自治区,1,,0
610000000000,61,陕西省,1,,0
620000000000,62,甘肃省,1,,0
630000000000,63,青海省,1,,0
640000000000,64,宁夏回族自治区,1,,0
650000000000,65,新疆维吾尔自治区,1,,0
650100000000,6501,乌鲁木齐市,2,,65
650200000000,6502,克拉玛依市,2,,65
650400000000,6504,吐鲁番市,2,,65
650500000000,6505,哈密市,2,,65
652300000000,6523,昌吉回族自治州,2,,65
652700000000,6527,博尔塔拉蒙古自治州,2,,65
652800000000,6528,巴音郭楞蒙古自治州,2,,65
652900000000,6529,阿克苏地区,2,,65
653000000000,6530,克孜勒苏柯尔克孜自治州,2,,65
653100000000,6531,喀什地区,2,,65
653200000000,6532,和田地区,2,,65
654000000000,6540,伊犁哈萨克自治州,2,,65
654200000000,6542,塔城地区,2,,65
654300000000,6543,阿勒泰地区,2,,65
659000000000,6590,自治区直辖县级行政区划,2,,65
640100000000,6401,银川市,2,,64
640200000000,6402,石嘴山市,2,,64
640300000000,6403,吴忠市,2,,64
640400000000,6404,固原市,2,,64
640500000000,6405,中卫市,2,,64
630100000000,6301,西宁市,2,,63
630200000000,6302,海东市,2,,63
632200000000,6322,海北藏族自治州,2,,63
632300000000,6323,黄南藏族自治州,2,,63
632500000000,6325,海南藏族自治州,2,,63
632600000000,6326,果洛藏族自治州,2,,63
632700000000,6327,玉树藏族自治州,2,,63
632800000000,6328,海西蒙古族藏族自治州,2,,63
620100000000,6201,兰州市,2,,62
620200000000,6202,嘉峪关市,2,,62
620300000000,6203,金昌市,2,,62
620400000000,6204,白银市,2,,62
620500000000,6205,天水市,2,,62
620600000000,6206,武威市,2,,62
620700000000,6207,张掖市,2,,62
620800000000,6208,平凉市,2,,62
